customer_id,id,full_name,starts,title,review,rating,rating_average,thank_count
11225233,11415485,,,Cực kì hài lòng,,5,,0
21737647,11415485,,,Cực kì hài lòng,"sản phẩm giao nhanh hơn dự kiến, tính mua có loa ngoài nhưng về không có do sơ suất chỉ nhìn hình không đọc thông tin sản phẩm,nói chung xài ok.",5,,0
12386494,11415485,,,Cực kì hài lòng,"rất hài lòg khi nhận hàng ,xài rất ổn,đag dự định mua thêm 1 cái như vậy nữa",5,,0
13432563,11415485,,,Cực kì hài lòng,,5,,0
13432563,11415485,,,Cực kì hài lòng,,5,,0
12283368,16518032,,,Cực kì hài lòng,,5,,0
10037975,16518032,,,Cực kì hài lòng,"Cảm ơn shop đóng gói cẩn thận, đt chính hãng, điện thoại tốt , tiếng lớn , nghe rõ... sản phẩm tốt y như quảng cáo",5,,0
15452867,16518032,,,Cực kì hài lòng,,5,,0
7134438,16518032,,,Hài lòng,"Điện thoại không hiển thị số gọi đến như quảng cáo, buồn",4,,0
204709,16518032,,,Rất hài lòng,"Giao đúng sp trên hình ạ, xài cũng rất tốt, mình k có gì đề phàn nàn cả",5,,0
13730570,16518032,,,Cực kì hài lòng,,5,,0
11325020,16518032,,,Bình thường,Hàng không tốt tín hiệu mãi mới truyền . Cúp máy 10 phút sau chưa tắt,3,,0
16721433,16518032,,,Cực kì hài lòng,Đẹp như quảng cáo,5,,0
16025539,16518032,,,Cực kì hài lòng,,5,,0
113399,16518032,,,Cực kì hài lòng,,5,,0
5334970,16518032,,,Cực kì hài lòng,,5,,0
10037975,16518032,,,Cực kì hài lòng,"Cảm ơn shop đóng gói cẩn thận, đt chính hãng, điện thoại tốt , tiếng lớn , nghe rõ... sản phẩm tốt y như quảng cáo",5,,0
234622,16518032,,,Cực kì hài lòng,,5,,0
9816702,16518032,,,Cực kì hài lòng,,5,,0
113399,16518032,,,Cực kì hài lòng,,5,,0
16025539,16518032,,,Cực kì hài lòng,,5,,0
16721433,16518032,,,Cực kì hài lòng,Đẹp như quảng cáo,5,,0
13730570,16518032,,,Cực kì hài lòng,,5,,0
204709,16518032,,,Rất hài lòng,"Giao đúng sp trên hình ạ, xài cũng rất tốt, mình k có gì đề phàn nàn cả",5,,0
7134438,16518032,,,Hài lòng,"Điện thoại không hiển thị số gọi đến như quảng cáo, buồn",4,,0
15452867,16518032,,,Cực kì hài lòng,,5,,0
12283368,16518032,,,Cực kì hài lòng,,5,,0
11734779,16518032,,,Bình thường,,3,,0
11325020,16518032,,,Bình thường,Hàng không tốt tín hiệu mãi mới truyền . Cúp máy 10 phút sau chưa tắt,3,,0
1339811,16518729,,,Cực kì hài lòng,,5,,0
1339811,16518729,,,Cực kì hài lòng,,5,,0
8891142,16518729,,,Cực kì hài lòng,Tốt . Mẫu đẹp . Giao hàng nhanh . Đóng gói cẩn thận !,5,,0
8891142,16518729,,,Cực kì hài lòng,Tốt . Mẫu đẹp . Giao hàng nhanh . Đóng gói cẩn thận !,5,,0
1316713,16521748,,,Cực kì hài lòng,,5,,0
724489,16521748,,,Cực kì hài lòng,"Sản phẩm đúng như hình, giao hàng đúng hạn, đóng gói chắc chắn",5,,0
27216878,16521748,,,Cực kì hài lòng,,5,,0
9135948,16521748,,,"Chất lượng tốt,","Dùng đã được 1 tháng thấy rất ok!
Nhược điểm của máy phải bỏ 3 viênpin AA  mới sử dụng được nhiều chức năng,có thể khắc phục bằng cách lấy 1 cục sạc di động 5v độ nối vào hộc pin",4,,0
11706063,16521748,,,Cực kì hài lòng,Sản phẩm tốt,5,,0
17813036,16521748,,,Hài lòng,,4,,0
22487868,16521748,,,Cực kì hài lòng,,5,,0
60725,16521748,,,Cực kì hài lòng,,5,,0
10532240,16521748,,,Cực kì hài lòng,,5,,0
